ets,iso,co2_2019_mt,abate_share,abate_mt
150,CZ,1.43947165,0.11418477966700546,0.1643657531921508
150,DE,31.089433908,0.11418477966700546,3.5499401607569085
150,DK,3.1007603390000003,0.11418477966700546,0.3540596361089042
150,EE,0.210027185,0.11418477966700546,0.023981907843306397
150,EL,4.430024401,0.11418477966700546,0.5058413601476428
150,ES,22.036524182999997,0.11418477966700546,2.5162356584624925
150,FI,2.675334307,0.11418477966700546,0.30548245838037574
150,FR,22.402052039,0.11418477966700546,2.5579733761620056
150,GB,37.299134185999996,0.11418477966700546,4.258993418798481
150,HR,0.7095893449999999,0.11418477966700546,0.08102430301287972
150,HU,1.102381928,0.11418477966700546,0.1258752375575687
150,IE,3.304912457,0.11418477966700546,0.37737070072128664
150,IS,0.516600534,0.11418477966700546,0.058987918150647356
150,IT,15.106921478,0.11418477966700546,1.7249805004121825
150,LI,1.767e-06,0.11418477966700546,2.0176450567159864e-07
150,LT,0.393580497,0.11418477966700546,0.0449409023311755
150,LU,1.772959277,0.11418477966700546,0.2024449644028183
150,LV,0.494257553,0.11418477966700546,0.05643668978805828
150,MT,0.5182756660000001,0.11418477966700546,0.05917919272898053
150,NL,11.144285299,0.11418477966700546,1.272507761412563
150,NO,3.113181945,0.11418477966700546,0.3554779944531245
150,PL,3.266972499,0.11418477966700546,0.3730385349764812
150,PT,5.256608541,0.11418477966700546,0.6002246880497841
150,RO,1.4745418529999998,0.11418477966700546,0.16837023659458294
150,SE,3.234225659,0.11418477966700546,0.3692993442662905
150,SI,0.11661393099999999,0.11418477966700546,0.013315536017338377
150,SK,0.190339292,0.11418477966700546,0.021733850118993814
