iso,YEAR,CO2_t,flights,months_obs,ets_covered,co2_per_flight,ln_co2,ln_flights,ln_intensity,post2012,did,year_x,gdp_pc,air_psgr,air_freight,tourism,ets_eur
CZ,2025,1431966.8464,86687,12,1,16.518818812509373,14.17455947427941,11.370059209196285,2.8045002650831248,1,1,,,,,,74.0
DE,2010,27910474.604,1149354,12,1,24.28361897552886,17.14451261016907,13.954710603374462,3.189802006794609,0,0,2010.0,42396.9665976293,97330734.2807591,7487.48100076523,26875000.0,14.0
DE,2011,29093266.86,1176057,12,1,24.73797346557182,17.18601732598794,13.977677875653862,3.208339450334077,0,0,2011.0,47630.9761883572,107042775.791182,7716.76190298526,28374000.0,13.0
DE,2012,28252769.673,1139857,12,1,24.786240443318768,17.156702052273094,13.946413373906108,3.2102886783669837,1,1,2012.0,44718.0159214069,105978474.526384,7236.98063027006,30411000.0,7.0
DE,2013,27464773.895,1099646,12,1,24.97601400359752,17.128414792247273,13.910498867792198,3.217915924455075,1,1,2013.0,47206.8353514242,109062321.51578,7335.69940204315,31545000.0,4.5
DE,2014,28011560.63,1107285,12,1,25.297516565292582,17.148127862570988,13.917421631130072,3.2307062314409167,1,1,2014.0,48959.5991203133,112353098.59355,7184.14620802563,32999000.0,6.0
DE,2015,28443620.59,1122401,12,1,25.341763407195824,17.16343446105535,13.93098069871796,3.2324537623373906,1,1,2015.0,41929.7549110722,117222850.0,6986.405444999,34970000.0,7.7
DE,2016,29342428.398000002,1139140,12,1,25.758404057446846,17.194545094738732,13.945784149713486,3.248760945025247,1,1,2016.0,42948.9381932694,116713587.0,6942.706331998,35555000.0,5.4
DE,2017,29936948.732,1158609,12,1,25.838698587703014,17.21460401900345,13.962730705610348,3.2518733133931,1,1,2017.0,45553.9341495339,114160685.0,7901.65234423,37452000.0,5.8
DE,2018,30677946.295,1205055,12,1,25.457714622984014,17.239054592685623,14.002035767018802,3.237018825666819,1,1,2018.0,48916.1686612154,109796202.17431,7969.86364,38881000.0,15.5
DE,2019,31089433.908,1198179,12,1,25.947236521421257,17.252378573699335,13.99631346218894,3.256065111510396,1,1,2019.0,47656.199739747,109633750.727,7763.61921423928,39563000.0,24.9
DE,2020,14740161.720999999,553873,12,1,26.612890899177245,16.506086416239224,13.224690697572228,3.281395718666997,1,1,2020.0,47394.8734504469,25758450.0,9166.3712826,12449000.0,24.8
DE,2021,16876115.5073,621172,12,1,27.16818450815555,16.641409896674382,13.339363295190578,3.3020466014838035,1,1,2021.0,52349.2459994422,33073180.0,11533.04853603,,53.6
DE,2022,24287554.0781,902063,12,1,26.924454365271604,17.005474599246927,13.712439641395084,3.2930349578518445,1,1,2022.0,50506.5179638543,69045135.0,12857.217948,,81.0
DE,2023,26761470.7763,954670,12,1,28.032168996930874,17.1024737534591,13.769121010008579,3.3333527434505226,1,1,2023.0,54776.7668235491,80199572.0,12766.528681,,83.0
DE,2024,27803471.47966,986641,12,1,28.17992712613808,17.1406714442339,13.802061523780262,3.3386099204536377,1,1,2024.0,56103.7323182554,,,,65.0
DE,2025,28485840.20702,1012588,12,1,28.131718139085194,17.16491768693415,13.828019987766313,3.3368976991678383,1,1,,,,,,74.0
DK,2010,2456460.537,177390,12,1,13.84779602570607,14.714232065735564,12.086105977482985,2.628126088252579,0,0,2010.0,58104.5445594981,,,26730000.0,14.0
DK,2011,2517302.328,183156,12,1,13.744034200353799,14.738698381326225,12.118093527703122,2.620604853623102,0,0,2011.0,61809.737898222,,,25811000.0,13.0
DK,2012,2524376.35,171303,12,1,14.73632306497843,14.74150460008551,12.05118919729371,2.6903154027918004,1,1,2012.0,58443.7747103968,,,26402000.0,7.0
DK,2013,2583795.239,177076,12,1,14.59144796019788,14.764769898871762,12.084334297930457,2.680435600941304,1,1,2013.0,61377.5940590412,,,26516000.0,4.5
DK,2014,2702518.403,177259,12,1,15.24615620645496,14.809694638093037,12.085367218845809,2.7243274192472273,1,1,2014.0,62520.4509747011,,,28070000.0,6.0
DK,2015,2736850.477,179420,12,1,15.25387625125404,14.822318356278428,12.097484705113274,2.724833651165154,1,1,2015.0,53094.0133607574,,,28209000.0,7.7
DK,2016,2950054.046,187548,12,1,15.729594802397253,14.897334048826147,12.141790091630194,2.755543957195953,1,1,2016.0,54500.9260410217,,,28692000.0,5.4
DK,2017,2914992.015,185822,12,1,15.687012382817967,14.885377638483389,12.13254450524146,2.752833133241929,1,1,2017.0,57521.5514992225,,,30736000.0,5.8
DK,2018,3064795.295,188857,12,1,16.2281265454815,14.935491337193813,12.148745393908516,2.786745943285297,1,1,2018.0,61324.7665045565,,,30801000.0,15.5
DK,2019,3100760.339,188078,12,1,16.48656588755729,14.94715791002661,12.14461204938455,2.8025458606420592,1,1,2019.0,59404.2663247723,,,33093000.0,24.9
DK,2020,1108818.778,81005,12,1,13.688275760755507,13.918805842700058,11.30226616014452,2.61653968255554,1,1,2020.0,60985.4885601514,,,15595000.0,24.8
DK,2021,1363031.1391,90517,12,1,15.058288930256195,14.125221556419172,11.413292957351166,2.711928599068006,1,1,2021.0,69340.7334922138,,,,53.6
DK,2022,2270107.76695,154464,12,1,14.696678623821732,14.635337862758023,11.94771633846022,2.687621524297804,1,1,2022.0,67781.0940939514,,,,81.0
DK,2023,2556257.6578,167595,12,1,15.252589025925595,14.754054894485144,12.029305633649548,2.7247492608355954,1,1,2023.0,68043.5466971243,,,,83.0
DK,2024,2867949.45438,172443,12,1,16.631289494963553,14.869107856550528,12.05782202606534,2.811285830485187,1,1,2024.0,71026.4832271897,,,,65.0
DK,2025,3111738.32212,176464,12,1,17.633842155453806,14.950692074022568,12.080872168545929,2.8698199054766396,1,1,,,,,,74.0
