year,member_state,verified_tco2,free_allocation_tco2,source
2018,LT,62452.0,12753.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,LU,263621.0,84252.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,LV,399578.0,198868.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,MT,340908.0,177624.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,NL,2841237.0,1317375.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,NO,1518319.0,894037.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,PL,1142534.0,468493.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,PT,1503870.0,503817.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,RO,952934.0,314061.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,SE,2860973.0,1533007.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,SI,97383.0,38891.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2018,SK,12071.0,12065.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,AT,3808809.0,2378437.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,BE,1383003.0,514176.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,BG,277839.0,198516.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,CY,28831.0,0.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,CZ,484353.0,374779.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,DE,9141580.0,3646772.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,DK,560180.0,333797.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,EE,28397.0,19778.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,ES,11959842.0,4574910.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,FI,1252207.0,493048.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,FR,4221394.0,1997387.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,GB,1114199.0,671962.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,GR,1220992.0,613642.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,HR,178606.0,85828.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,HU,2384088.0,740143.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,IE,12780254.0,5225618.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,IS,598093.0,208437.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,IT,4618109.0,2639678.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
2019,LT,20205.0,0.0,"EEA EU ETS database v02 (Union Registry/EUTL extract), main_activity=10-aviation"
