iso,YEAR,MONTH,CO2_t,flights,n_source,ets_covered,co2_per_flight,ln_co2,ln_flights,ln_intensity,post2012,did
ES,2019,5,1933564.04,97221,2,1,19.888337293383117,14.474875510763638,11.48474201649594,2.9901334942677,1,1
ES,2019,6,2054166.761,102930,2,1,19.956929573496552,14.535380854587892,11.541804424520604,2.9935764300672876,1,1
ES,2019,7,2213418.401,109523,2,1,20.2096217324215,14.610048666232679,11.603889851844292,3.006158814388388,1,1
ES,2019,8,2200970.218,107128,2,1,20.545237640952877,14.604408829294835,11.581779660175402,3.022629169119433,1,1
ES,2019,9,2067193.12,101044,2,1,20.458346067059896,14.541702264391507,11.523311344522646,3.0183909198688608,1,1
ES,2019,10,1980711.3190000001,95855,2,1,20.663620249334933,14.498966590175364,11.47059191195415,3.028374678221214,1,1
ES,2019,11,1560330.7319999998,75439,2,1,20.683343257466294,14.260408364447573,11.231079661652146,3.029328702795427,1,1
ES,2019,12,1603900.8660000002,74889,2,1,21.417042102311424,14.287949261259234,11.22376229623665,3.0641869650225857,1,1
ES,2020,1,1515049.375,71322,2,1,21.242384888253273,14.230958587153616,11.174960114208679,3.055998472944936,1,1
ES,2020,2,1435990.598,70153,2,1,20.469411115704247,14.177365481215112,11.158433850118683,3.0189316310964287,1,1
ES,2020,3,985055.464,46166,2,1,21.337249577611228,13.800453227198396,10.739998875403943,3.0604543517944527,1,1
ES,2020,4,142185.70299999998,6127,2,1,23.206414721723515,11.864889249805785,8.720460512725655,3.1444287370801303,1,1
ES,2020,5,187910.429,8027,2,1,23.40979556496823,12.143720686788415,8.990566138131577,3.1531545486568384,1,1
ES,2020,6,189613.86299999998,13751,2,1,13.789096283906623,12.152744983218742,9.528866827722945,2.623878155495797,1,1
ES,2020,7,639933.09,47399,2,1,13.50098293212937,13.36911890299545,10.76635641041421,2.6027624925812405,1,1
ES,2020,8,843816.7289999999,60259,2,1,14.003165153752965,13.64569060426395,11.00640721779054,2.6392833864734078,1,1
ES,2020,9,628011.632,43938,2,1,14.293131958669033,13.350313967571793,10.690534828289124,2.659779139282669,1,1
ES,2020,10,562445.34,37174,2,1,15.130073169419486,13.240049235005745,10.523364871168297,2.7166843638374463,1,1
ES,2020,11,444095.07499999995,27731,2,1,16.014390934333417,13.003793951374071,10.230306199986291,2.7734877513877807,1,1
ES,2020,12,537195.91,31407,2,1,17.104336931257365,13.194118130050487,10.354786076987464,2.839332053063022,1,1
ES,2021,1,440635.8676,25010,2,1,17.618387349060377,12.995974116301255,10.127031023871664,2.8689430924295904,1,1
ES,2021,2,355889.75265,21091,2,1,16.874010366981175,12.782376278304893,9.956601688185614,2.825774590119279,1,1
ES,2021,3,425922.42374999996,27740,2,1,15.354088815789472,12.962012504795345,10.230630693868823,2.7313818109265218,1,1
ES,2021,4,494142.8689,31376,2,1,15.749071548317184,13.110579962656995,10.353798548436128,2.7567814142208684,1,1
ES,2021,5,599418.4606,40759,2,1,14.70640743394097,13.303715231855568,10.615431953178978,2.68828327867659,1,1
ES,2021,6,833908.4371,55193,2,1,15.10895289438878,13.633878887663899,10.918591412629715,2.715287475034185,1,1
ES,2021,7,1284912.18945,79759,2,1,16.109933542923056,14.066200938918145,11.286764866944285,2.7794360719738602,1,1
ES,2021,8,1386764.168,84003,2,1,16.508507648536362,14.142483654559,11.338607791473425,2.8038758630855742,1,1
ES,2021,9,1306234.6726,76550,2,1,17.06381022338341,14.08265926073168,11.24569940108583,2.836959859645849,1,1
ES,2021,10,1381249.7621499998,76369,2,1,18.08652414134007,14.13849927204909,11.243332133649785,2.8951671383993056,1,1
ES,2021,11,1189776.7027,62078,2,1,19.165834960855697,13.98927620269031,11.036146937843293,2.9531292648470173,1,1
ES,2021,12,1287846.8969,64325,2,1,20.020938933540616,14.068482309714513,11.071703637149945,2.996778672564568,1,1
ES,2022,1,1116948.2309,56767,2,1,19.676013016365143,13.926110730424035,10.946710449956035,2.979400280468001,1,1
ES,2022,2,1051241.50495,55531,2,1,18.930714464893484,13.865482409332959,10.924696702357316,2.940785706975642,1,1
ES,2022,3,1299172.9864,69127,2,1,18.79400214677333,14.077238455685698,11.143700671498307,2.9335377841873926,1,1
ES,2022,4,1580209.0825500002,85099,2,1,18.56906758657564,14.273067726976059,11.351570563611107,2.9214971633649522,1,1
ES,2022,5,1661351.1998,92529,2,1,17.954924399917864,14.32314180501723,11.435277387878937,2.8878644171382915,1,1
ES,2022,6,1710328.4037,95411,2,1,17.92590376057268,14.352195958987172,11.465949154772613,2.8862468042145597,1,1
ES,2022,7,1875608.4085,104018,2,1,18.031575385990884,14.444443649286262,11.552319240070505,2.8921244092157568,1,1
ES,2022,8,1868454.6612999998,101675,2,1,18.37673628030489,14.440622262855454,11.529536730775424,2.911085532080029,1,1
ES,2022,9,1731875.4218000001,94565,2,1,18.31412702162534,14.364715438150414,11.457042707722556,2.9076727304278602,1,1
ES,2022,10,1751384.48165,94138,2,1,18.604436908049884,14.375917165490867,11.452517069775134,2.9234000957157344,1,1
ES,2022,11,1418769.8354,72672,2,1,19.522922657970057,14.165300741012796,11.193711444905285,2.971589296107511,1,1
ES,2022,12,1477838.00805,73256,2,1,20.17361046262422,14.206090772352272,11.201715434787568,3.004375337564705,1,1
ES,2023,1,1389185.0387,69853,2,1,19.88726380685153,14.14422783007048,11.154148312939625,2.9900795171308543,1,1
ES,2023,2,1296445.96495,67202,2,1,19.291776508883665,14.075137205460234,11.115458287973127,2.959678917487107,1,1
ES,2023,3,1535850.94685,79940,2,1,19.21254624530898,14.24459514816989,11.289031632265315,2.955563515904575,1,1
ES,2023,4,1703051.0619,90833,2,1,18.749254807173607,14.347931942695036,11.416777934685822,2.9311540080092136,1,1
ES,2023,5,1788680.6076,96867,2,1,18.465324698813838,14.39698881530575,11.481094182600518,2.915894632705232,1,1
ES,2023,6,1835400.2229999998,98688,2,1,18.598008096222436,14.422773120866443,11.499718637482946,2.9230544833834964,1,1
ES,2023,7,2040853.4292000001,109287,2,1,18.67425612561421,14.528878625984479,11.601732728390038,2.927145897594441,1,1
ES,2023,8,2042007.3069499999,107251,2,1,19.03951764505692,14.529443856030413,11.58292716075612,2.946516695274295,1,1
ES,2023,9,1928909.4799,101558,2,1,18.993181038421394,14.472465364866645,11.528385342832271,2.9440800220343735,1,1
