iso,YEAR,MONTH,segment,nb_flights,co2_t,co2_per_flight
DK,2023,7,cargo,3766,8726.8,2.3172596919808814
DK,2023,7,lowcost,41959,44061.8,1.0501155890273839
DK,2023,7,mainline,48904,75902.70000000004,1.552075494847048
DK,2023,7,other,18193,10956.299999999992,0.602226130929478
DK,2023,7,regional,20500,14071.699999999997,0.6864243902439023
DK,2023,8,business,6067,1892.2000000000007,0.3118839624196474
DK,2023,8,cargo,3994,9460.400000000003,2.368652979469205
DK,2023,8,lowcost,41867,43389.100000000035,1.0363556022643141
DK,2023,8,mainline,56106,76311.90000000007,1.360137953160091
DK,2023,8,other,16899,9553.899999999994,0.5653529794662403
DK,2023,8,regional,28995,14353.000000000002,0.4950163821348509
DK,2023,9,business,5701,1901.9999999999998,0.3336256797053148
DK,2023,9,cargo,3735,8963.600000000002,2.3998929049531466
DK,2023,9,lowcost,40522,41423.90000000001,1.022257045555501
DK,2023,9,mainline,38944,74007.70000000001,1.900362058340181
DK,2023,9,other,16126,9351.199999999992,0.579883418082599
DK,2023,9,regional,23534,15104.799999999997,0.6418288433755417
DK,2023,10,business,6340,1771.1000000000001,0.27935331230283916
DK,2023,10,cargo,4024,9833.699999999999,2.443762425447316
DK,2023,10,lowcost,34054,42172.00000000001,1.2383860926763377
DK,2023,10,mainline,85524,72322.19999999995,0.8456363126140025
DK,2023,10,other,15726,9666.4,0.614676332188732
DK,2023,10,regional,23589,15122.599999999995,0.6410869473059475
DK,2023,11,business,4410,1478.8000000000009,0.33532879818594125
DK,2023,11,cargo,4303,10756.800000000003,2.4998373227980486
DK,2023,11,lowcost,21906,27424.0,1.2518944581393225
DK,2023,11,mainline,44952,65982.59999999993,1.4678457020822195
DK,2023,11,other,10034,6984.500000000001,0.6960833167231414
DK,2023,11,regional,22065,12150.700000000003,0.5506775436211195
DK,2023,12,business,4211,1995.700000000001,0.473925433388744
DK,2023,12,cargo,3736,13360.199999999999,3.5760706638115627
DK,2023,12,lowcost,31040,33148.80000000001,1.0679381443298972
DK,2023,12,mainline,65611,154363.29999999978,2.3527045769764183
DK,2023,12,other,9002,8691.200000000004,0.9654743390357703
DK,2023,12,regional,22801,12036.4,0.527889127669839
DK,2024,1,business,4389,2027.6999999999996,0.461995898838004
DK,2024,1,cargo,4007,13396.3,3.343224357374594
DK,2024,1,lowcost,21387,28411.199999999997,1.3284331603310422
DK,2024,1,mainline,33347,151393.19999999995,4.539934626803009
DK,2024,1,other,9388,8958.500000000002,0.9542501065189606
DK,2024,1,regional,20044,12256.0,0.6114547994412293
DK,2024,2,business,4867,2132.9,0.43823710704746255
